record_id,title,language,mobile_category,record_type,citation_url,is_accepted,old_quality_score,new_quality_score,quality_flags,content_length_before,content_length_after,ui_noise_removed,code_before,code_after,quota_before,quota_after,kix_units,has_price,has_code,has_kix_units,has_quota,possible_issue
c1d2e893240d83f302a2b150a5925127e3d3877a42ce3a1c64ffc14982b1a8d8,"Mobile: 6,000 MB, 2,000 minutes and 500 Group intra minutes",en,control_plans,plan,https://te.eg/en/personal/mobile/control-we-mix,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,604,312,True,*100#,*100#,"6,000 MB","6,000 MB",,False,True,False,True,
a2b994da0efe47e1b0e0fcfcb0a2244085e23bf918ee61fc1643a236a839bc57,Super Kix 29,en,control_plans,terms,https://te.eg/en/w/super-kix-25,True,0.92,0.98,scrapling_static_fetch;ui_noise_removed;kix_units_extracted;consumption_rules_extracted;quota_from_consumption_rule_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built,2125,596,True,,,156 MB,,750,True,False,True,False,
c0d6ff6159cb1b1190946abd8896d5dc52d8030ad2c3d367c42fd706d8cf70f8,Price,en,control_plans,plan,https://te.eg/en/w/super-kix-25,False,0.64,0.72,scrapling_static_fetch;ui_noise_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built;missing_useful_content;rejected_low_quality,196,35,True,,,,,,False,False,False,False,missing useful content
dd6e5ede8a7b2f6f64c60fdb58619b1487bdf83d0df5f82164346ec868e3c0dd,Nitro MBs after 25% extra,en,control_plans,plan,https://te.eg/en/w/super-kix-25,True,0.74,0.8,scrapling_static_fetch;ui_noise_removed;quota_from_consumption_rule_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built,262,55,True,,,156 MB,,,False,False,False,False,
21b6e5c8f67f455070c64bb4578cfa54bfc22c073633eb22d387155236ea8ef5,Super Kix,en,control_plans,plan,https://te.eg/en/w/super-kix-25,True,0.64,0.92,scrapling_static_fetch;ui_noise_removed;kix_units_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,219,54,True,,,,,750,False,False,True,False,
af213a9f20657a44ceaa2e7c28c0f6728759f70d544041c42a90df609f1be869,Units used to other operators (1 Kix= 1 minute),en,control_plans,plan,https://te.eg/en/w/super-kix-25,True,0.64,0.88,scrapling_static_fetch;ui_noise_removed;consumption_rules_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,250,294,True,,,,,,False,False,False,False,
19d6b1f1ff303ba05b51b4848e0ed17597c848db031fde5b0f236560e449d921,Units,en,control_plans,plan,https://te.eg/en/w/super-kix-25,False,0.64,0.72,scrapling_static_fetch;ui_noise_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built;missing_useful_content;rejected_low_quality,164,35,True,,,,,,False,False,False,False,missing useful content
1fd5cc2deef19877c4c58e889afce0ccdc8921e6ce6e963feed3dbe154413d96,Minutes to WE network,en,control_plans,plan,https://te.eg/en/w/super-kix-25,False,0.64,0.72,scrapling_static_fetch;ui_noise_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built;missing_useful_content;rejected_low_quality,247,51,True,,,,,,False,False,False,False,missing useful content
182dd413892910a95ec31a627164a14246cd3c46367a161a407ce0dc2aeaed16,EGP 45,en,control_plans,plan,https://te.eg/en/w/super-kix-25,False,0.64,0.72,scrapling_static_fetch;ui_noise_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built;missing_useful_content;rejected_low_quality,160,36,True,,,,,,False,False,False,False,missing useful content
f0b6a9638420a332112b73e5dc9a62ab1477ae5d8c28c9d3ac4dc609bc832d18,"WE Tazbeet Plans | Calls, Internet & Control Mobile Packages in Egypt",en,control_plans,plan,https://te.eg/en/personal/mobile/control-tazbeet,True,1.0,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_normalized;subscription_code_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,1283,418,True,"*660*46#,*660*58#,*660*105#,*660*165#","*660*58#,*660*46#,*660*165#,*660*105#","1,250 MB","1,250 MB",,True,True,False,True,
b3af025749e38e33c7070e6c0f7aa2d3a039e0c5fbd8ea88ffd47cd8a2570991,Tazbeet 46,en,control_plans,plan,https://te.eg/en/personal/mobile/control-tazbeet,True,0.96,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,570,285,True,*660*46#,*660*46#,"1,250 MB","1,250 MB",,True,True,False,True,
b1e2b0e0f08eb66fc6d57edfea219c4f76778d90426bedb319a0b8ffa2c9d5ad,Control Tazbeet,en,control_plans,plan,https://te.eg/en/personal/mobile/control-tazbeet,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;ui_noise_title_replaced;subscription_code_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,526,276,True,*660*46#,*660*46#,"1,250 MB","1,250 MB",,False,True,False,True,
ed01f76bc7bda5bd2e50e591a972a0967b61ec25fd78cead933e2813b42b548a,"1,250 MB and 300 minutes",en,control_plans,plan,https://te.eg/en/personal/mobile/control-tazbeet,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,481,285,True,*660*46#,*660*46#,"1,250 MB","1,250 MB",,False,True,False,True,
9e9ba895cf6b8dd343bb79da25aa554c5250fa8369c7d375fab5876939739c56,Tazbeet 58,en,control_plans,plan,https://te.eg/en/personal/mobile/control-tazbeet,True,0.96,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,570,285,True,*660*58#,*660*58#,"2,250 MB","2,250 MB",,True,True,False,True,
8bf82faa766fe8c47fcfc4347a009c7c4c3ee04fd2f35c5884e38c71b8ad8b12,Control Tazbeet,en,control_plans,plan,https://te.eg/en/personal/mobile/control-tazbeet,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;ui_noise_title_replaced;subscription_code_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,526,276,True,*660*58#,*660*58#,"2,250 MB","2,250 MB",,False,True,False,True,
a05146eeee10e902a15f34bb0e7260779bc3a68ad46fabbc023fa2aa2a6187a1,"2,250 MB and 400 minutes",en,control_plans,plan,https://te.eg/en/personal/mobile/control-tazbeet,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,481,285,True,*660*58#,*660*58#,"2,250 MB","2,250 MB",,False,True,False,True,
438c79f3549030a74d5c7375866be0d64b293faa3d17184ace988aca7db41129,Tazbeet 105,en,control_plans,plan,https://te.eg/en/personal/mobile/control-tazbeet,True,0.96,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,575,289,True,*660*105#,*660*105#,"5,250 MB","5,250 MB",,True,True,False,True,
f53cd83a295f6578188853eec74f27a5c8097581ba34eeb6de2a3a8288326a2a,Control Tazbeet,en,control_plans,plan,https://te.eg/en/personal/mobile/control-tazbeet,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;ui_noise_title_replaced;subscription_code_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,528,278,True,*660*105#,*660*105#,"5,250 MB","5,250 MB",,False,True,False,True,
31856b6c7d64fbdaa99f7366ded8075582af2fa0e4df8011387b3f93ad88ca65,"5,250 MB and 500 minutes",en,control_plans,plan,https://te.eg/en/personal/mobile/control-tazbeet,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,483,287,True,*660*105#,*660*105#,"5,250 MB","5,250 MB",,False,True,False,True,
38d314264dbcef953f814bb06a377953982940fa5993427faebc4c3b7edb34ec,Tazbeet 165,en,control_plans,plan,https://te.eg/en/personal/mobile/control-tazbeet,True,0.96,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,577,290,True,*660*165#,*660*165#,"11,250 MB","11,250 MB",,True,True,False,True,
816350ae31bd9cb43db50a0f081a295324b83e76a3f3a41f3b8e86820b1b85af,Control Tazbeet,en,control_plans,plan,https://te.eg/en/personal/mobile/control-tazbeet,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;ui_noise_title_replaced;subscription_code_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,530,279,True,*660*165#,*660*165#,"11,250 MB","11,250 MB",,False,True,False,True,
e08ddb2f5f4c465a7567fe66f412ed14b197fbb3626fc0e5a899bb479b175b74,"11,250 MB and 600 minutes",en,control_plans,plan,https://te.eg/en/personal/mobile/control-tazbeet,True,0.86,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;search_aliases_enriched;content_rebuilt_clean;index_text_built,486,289,True,*660*165#,*660*165#,"11,250 MB","11,250 MB",,False,True,False,True,
1cc42023b49c515190206eaf815ad085ef3e08bf2d1b89017338027b575eead0,"WE Super KIX Plans | Calls, Internet & Control Mobile Packages in Egypt",en,control_plans,plan,https://te.eg/en/personal/mobile/control/super-kix,True,1.0,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_normalized;subscription_code_extracted;kix_units_extracted;consumption_rules_extracted;quota_from_consumption_rule_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built,1553,599,True,"*707*29#,*707*37#,*707*52#,*707*69#,*707*98#,*707*120#,*707*150#","*707*98#,*707*69#,*707*52#,*707*37#,*707*29#,*707*150#,*707*120#",1 MB,,750,True,True,True,False,
5194bfaca4bfbdda1c2f0d0ce868d74006b030b71d941f5e3baf85c3affb639e,Super Kix 29,en,control_plans,plan,https://te.eg/en/personal/mobile/control/super-kix,True,0.96,0.98,scrapling_static_fetch;ui_noise_removed;subscription_code_extracted;kix_units_extracted;consumption_rules_extracted;quota_from_consumption_rule_removed;search_aliases_enriched;content_rebuilt_clean;index_text_built,621,397,True,*707*29#,*707*29#,1 MB,,750,True,True,True,False,
